Tarjeta,monto,Respuesta
45341000,0.1,FONDEO A TARJETA EXITOSO.
45341000,0.2,FONDEO A TARJETA EXITOSO.
45341000,0.3,FONDEO A TARJETA EXITOSO.
45341000,0.4,FONDEO A TARJETA EXITOSO.
45341000,0.5,FONDEO A TARJETA EXITOSO.
45341000,0.6,FONDEO A TARJETA EXITOSO.
45341000,0.7,FONDEO A TARJETA EXITOSO.
45341000,0.8,FONDEO A TARJETA EXITOSO.
45341000,0.9,FONDEO A TARJETA EXITOSO.
45341000,1,FONDEO A TARJETA EXITOSO.
45341000,1.1,FONDEO A TARJETA EXITOSO.
45341000,1.2,NO SE CUENTAN CON SUFICIENTES FONDOS PARA EL FONDEO.
